Hotel_Name,Hotel_Rating,Room_type,Room_price,Room_sqft,Facilities,Location
Theory9 Premium Service Apartments Bandra,8.1,Four-Bedroom Apartment,$930,1000 feet²,"['Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Family rooms', 'Non-smoking rooms', 'Meeting/Banquet facilities', 'Apartments', '24-hour front desk', 'Key card access']","Corner Of Turner Road And St Martins Road Opp. Rolex Showroom Bandra West,, Bandra, 400050 Mumbai, India"
Hotel King Palace,3.0,Deluxe Double Room with Extra Bed,$61,220 feet²,"['Air conditioning', 'Flat-screen TV', 'Family rooms', 'Room service', 'Non-smoking rooms', '24-hour front desk']","26/208, Govt. Hsg., Scheme, Nehru Road Anand Nagar, Next to Ola Hall, Santacruz (E), Mumbai - 400 055., Santacruz, 400055 Mumbai, India"
Hotel Sunshine Airport,6.1,Deluxe Double Room,$132,2422 feet²,"['Free parking', 'Restaurant', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Bathtub', 'Flat-screen TV', 'Airport shuttle', 'Family rooms', 'Room service']","Opp IBI House & The Qube, Near International Airport,Behind J W Marriott Hotel,Chimatpada,Marol Naka,Andheri East, 400059 Mumbai, India"
SHAH SOCIAL PARTY VILLA In Royal Palms Mumbai,6.4,Villa with Private Pool,$103,3000 feet²,"['Whole house', 'Size', 'Kitchen', 'City view', 'Garden', 'Swimming pool', 'Terrace', 'Balcony', 'Free parking', 'Air conditioning']","Royal Palms Villa Road VILLA NO 402, 400065 Mumbai, India"
Quirky- Royal Palm villa,6.7,One-Bedroom Villa,$196,1500 feet²,"['Size', 'Kitchen', 'View', 'Pet friendly', 'Swimming pool', 'BBQ facilities', 'Free WiFi', 'Terrace', 'Balcony', 'Free parking']","Royal Palms Villa Road, 400065 Mumbai, India"
Citizen Hotel,6.9,Executive Double or Twin Room,$343,180 feet²,[],"960, Juhu Tara Road, Juhu, 400049 Mumbai, India"
Peninsula Grand,6.4,Superior Double or Twin Room,$397,220 feet²,"['Free parking', 'Restaurant', 'Spa', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Bathtub or shower', 'Minibar', 'Flat-screen TV', 'Airport shuttle']","Sakinaka junction, 400072 Mumbai, India"
KF Residency,5.0,Deluxe Triple Room,$118,,[],"Next to Kurla Court, L.B.S Road Kurla West, 400070 Mumbai, India"
Hotel Sun City - Near Saifee Hospital And H N Reliance Hospital,6.3,Deluxe Triple Room - 10% discount on food and soft beverage,$66,,[],"1St Floor, 198, Diamond Queen Building, Prathna Samaj, Raja Ram Mohan Rai Marg, Girgaon, 400004 Mumbai, India"
Hotel New Bengal,5.6,Standard Double or Twin Room,$57,,"['Parking', 'Restaurant', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Flat-screen TV', 'Airport shuttle', 'Family rooms', 'Room service']","'B' Block, Sitaram Building, Dr.D.N.Road, Near Crawford Market, 400001 Mumbai, India"
J ESVI Hotels,7.1,Deluxe Room,$167,160 feet²,"['Free parking', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Flat-screen TV', 'Family rooms', 'Room service', 'Non-smoking rooms', 'Cable channels']","Jaiswal Chambers, Near Railway Station & Bus Depot, S.V. Road, Jogeswari West, 400102 Mumbai, India"
Treebo Trend BKC Mannat,4.5,Standard Double Room,$102,180 feet²,"['Free parking', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Flat-screen TV', 'Family rooms', 'Room service', '24-hour front desk', 'Daily housekeeping']","E, 2nd Floor Bldg No 11 CSRA, near Trade Centre Bkc, Kolivery Village, MMRDA Area, Kalina, Bandra East, Mumbai, Maharashtra 400051, Santacruz, 400051 Mumbai, India"
"Lemon Tree Premier, Mumbai International Airport",7.3,Deluxe Room,$763,269 feet²,[],"Opposite Mittal Industrial Estate, Andheri Kurla Road Andheri East, 400059 Mumbai, India"
Royal squad Villa 239,,One-Bedroom Apartment,$196,,"['Free parking', 'Pet friendly', 'Swimming pool', 'Private pool', 'Balcony', 'Air conditioning', 'Terrace', 'Private Bathroom', 'View', 'Kitchen']","239 Royal Palms Villa Road, 400065 Mumbai, India"
